Index,Time,Speed [rpm],Setpoint [rpm],Dutty cycle [ms]
0,2019-07-05 11:55:43.116680,0,1800,1000
1,2019-07-05 11:55:43.674809,0,1800,1000
2,2019-07-05 11:55:43.852336,0,1800,1000
3,2019-07-05 11:55:44.031367,0,1800,1000
4,2019-07-05 11:55:44.209891,0,1800,1000
5,2019-07-05 11:55:44.393402,0,1800,1000
6,2019-07-05 11:55:44.574915,0,1800,1000
7,2019-07-05 11:55:44.753439,0,1800,1000
8,2019-07-05 11:55:44.932960,0,1800,1000
9,2019-07-05 11:55:45.120074,0,1800,1000
10,2019-07-05 11:55:45.306174,0,1800,1000
11,2019-07-05 11:55:45.486264,0,1800,1000
12,2019-07-05 11:55:45.672766,0,1800,1000
13,2019-07-05 11:55:45.852288,0,1800,1000
14,2019-07-05 11:55:46.033802,0,1800,1000
15,2019-07-05 11:55:46.219308,0,1800,1000
16,2019-07-05 11:55:46.396833,0,1800,1000
17,2019-07-05 11:55:46.575884,0,1800,1000
18,2019-07-05 11:55:46.765379,0,1800,1000
19,2019-07-05 11:55:46.962738,0,1800,1000
20,2019-07-05 11:55:47.157730,0,1800,1000
21,2019-07-05 11:55:47.341240,0,1800,1000
22,2019-07-05 11:55:47.524750,0,1800,1000
23,2019-07-05 11:55:47.704271,0,1800,1008
24,2019-07-05 11:55:47.884790,0,1800,1044
25,2019-07-05 11:55:48.065837,0,1800,1080
26,2019-07-05 11:55:48.256908,654,1800,1102
27,2019-07-05 11:55:48.444384,1045,1800,1026
28,2019-07-05 11:55:48.624015,904,1800,1057
29,2019-07-05 11:55:48.810519,941,1800,1071
30,2019-07-05 11:55:48.992034,1018,1800,1076
31,2019-07-05 11:55:49.180530,1085,1800,1082
32,2019-07-05 11:55:49.369027,1167,1800,1088
33,2019-07-05 11:55:49.549545,1226,1800,1091
34,2019-07-05 11:55:49.741232,1302,1800,1094
35,2019-07-05 11:55:49.937708,1366,1800,1098
36,2019-07-05 11:55:50.125742,1418,1800,1100
37,2019-07-05 11:55:50.317183,1477,1800,1100
38,2019-07-05 11:55:50.501689,1503,1800,1102
39,2019-07-05 11:55:50.683206,1536,1800,1104
40,2019-07-05 11:55:50.874694,1572,1800,1105
41,2019-07-05 11:55:51.048230,1608,1800,1106
42,2019-07-05 11:55:51.232970,1628,1800,1107
43,2019-07-05 11:55:51.415068,1641,1800,1108
44,2019-07-05 11:55:51.594589,1646,1800,1110
45,2019-07-05 11:55:51.780093,1671,1800,1111
46,2019-07-05 11:55:51.960613,1694,1800,1111
47,2019-07-05 11:55:52.135146,1709,1800,1111
48,2019-07-05 11:55:52.320651,1726,1800,1110
49,2019-07-05 11:55:52.494188,1721,1800,1111
50,2019-07-05 11:55:52.675213,1739,1800,1112
51,2019-07-05 11:55:52.855351,1751,1800,1111
52,2019-07-05 11:55:53.034873,1754,1800,1111
53,2019-07-05 11:55:53.215391,1759,1800,1112
54,2019-07-05 11:55:53.392916,1754,1800,1113
55,2019-07-05 11:55:53.574432,1754,1800,1114
56,2019-07-05 11:55:53.781878,1749,1800,1115
57,2019-07-05 11:55:53.966385,1746,1800,1117
58,2019-07-05 11:55:54.146903,1749,1800,1118
59,2019-07-05 11:55:54.333978,1767,1800,1117
60,2019-07-05 11:55:54.514494,1772,1800,1117
61,2019-07-05 11:55:54.701142,1777,1800,1116
62,2019-07-05 11:55:54.882658,1775,1800,1117
63,2019-07-05 11:55:55.065171,1777,1800,1118
