Index,Time,Speed [rpm],Setpoint [rpm],Dutty cycle [ms]
0,2019-07-05 12:22:07.167919,0,1800,1000
1,2019-07-05 12:22:07.726984,0,1800,1000
2,2019-07-05 12:22:07.910493,0,1800,1000
3,2019-07-05 12:22:08.094999,0,1800,1000
4,2019-07-05 12:22:08.277512,0,1800,1000
5,2019-07-05 12:22:08.458029,0,1800,1000
6,2019-07-05 12:22:08.639180,0,1800,1000
7,2019-07-05 12:22:08.820693,0,1800,1000
8,2019-07-05 12:22:09.000213,0,1800,1000
9,2019-07-05 12:22:09.182726,0,1800,1000
10,2019-07-05 12:22:09.370224,0,1800,1000
11,2019-07-05 12:22:09.553733,0,1800,1000
12,2019-07-05 12:22:09.743227,0,1800,1000
13,2019-07-05 12:22:09.929728,0,1800,1000
14,2019-07-05 12:22:10.115234,0,1800,1000
15,2019-07-05 12:22:10.312705,0,1800,1000
16,2019-07-05 12:22:10.501199,0,1800,1000
17,2019-07-05 12:22:10.687701,0,1800,1000
18,2019-07-05 12:22:10.877704,0,1800,1000
19,2019-07-05 12:22:11.059219,0,1800,1000
20,2019-07-05 12:22:11.241730,0,1800,1000
21,2019-07-05 12:22:11.427234,0,1800,1000
22,2019-07-05 12:22:11.612739,0,1800,1000
23,2019-07-05 12:22:11.801234,0,1800,1026
24,2019-07-05 12:22:11.984744,0,1800,1062
25,2019-07-05 12:22:12.171245,0,1800,1098
26,2019-07-05 12:22:12.359741,814,1800,1102
27,2019-07-05 12:22:12.547240,977,1800,1025
28,2019-07-05 12:22:12.732673,884,1800,1054
29,2019-07-05 12:22:12.922312,966,1800,1076
30,2019-07-05 12:22:13.110795,1038,1800,1077
31,2019-07-05 12:22:13.295925,1117,1800,1086
32,2019-07-05 12:22:13.482426,1203,1800,1090
33,2019-07-05 12:22:13.661948,1267,1800,1092
34,2019-07-05 12:22:13.858421,1346,1800,1092
35,2019-07-05 12:22:14.047914,1395,1800,1096
36,2019-07-05 12:22:14.238404,1428,1800,1098
37,2019-07-05 12:22:14.424905,1479,1800,1100
38,2019-07-05 12:22:14.613985,1511,1800,1103
39,2019-07-05 12:22:14.805077,1554,1800,1104
40,2019-07-05 12:22:14.991174,1581,1800,1106
41,2019-07-05 12:22:15.168886,1600,1800,1107
42,2019-07-05 12:22:15.349984,1615,1800,1108
43,2019-07-05 12:22:15.531064,1634,1800,1111
44,2019-07-05 12:22:15.711715,1673,1800,1110
45,2019-07-05 12:22:15.898214,1687,1800,1110
46,2019-07-05 12:22:16.079729,1702,1800,1110
47,2019-07-05 12:22:16.259250,1714,1800,1111
48,2019-07-05 12:22:16.441763,1721,1800,1111
49,2019-07-05 12:22:16.623276,1731,1800,1112
50,2019-07-05 12:22:16.800801,1739,1800,1112
51,2019-07-05 12:22:16.995282,1754,1800,1112
52,2019-07-05 12:22:17.187767,1754,1800,1112
53,2019-07-05 12:22:17.380251,1756,1800,1113
54,2019-07-05 12:22:17.558774,1749,1800,1114
55,2019-07-05 12:22:17.745277,1759,1800,1115
56,2019-07-05 12:22:17.933772,1767,1800,1114
57,2019-07-05 12:22:18.121269,1772,1800,1114
58,2019-07-05 12:22:18.297797,1767,1800,1115
59,2019-07-05 12:22:18.481306,1767,1800,1116
60,2019-07-05 12:22:18.659829,1772,1800,1116
61,2019-07-05 12:22:18.851318,1780,1800,1116
62,2019-07-05 12:22:19.030837,1780,1800,1115
63,2019-07-05 12:22:19.213349,1769,1800,1117
64,2019-07-05 12:22:19.396858,1775,1800,1117
65,2019-07-05 12:22:19.581365,1788,1800,1116
66,2019-07-05 12:22:19.764874,1788,1800,1116
67,2019-07-05 12:22:19.954270,1783,1800,1117
68,2019-07-05 12:22:20.134786,1785,1800,1117
69,2019-07-05 12:22:20.322286,1783,1800,1118
70,2019-07-05 12:22:20.505146,1791,1800,1117
71,2019-07-05 12:22:20.686662,1796,1800,1117
72,2019-07-05 12:22:20.876154,1796,1800,1116
73,2019-07-05 12:22:21.057669,1796,1800,1117
74,2019-07-05 12:22:21.250154,1799,1800,1116
75,2019-07-05 12:22:21.437653,1804,1800,1116
76,2019-07-05 12:22:21.618170,1799,1800,1116
77,2019-07-05 12:22:21.800240,1785,1800,1118
78,2019-07-05 12:22:21.995718,1788,1800,1118
79,2019-07-05 12:22:22.206155,1804,1800,1117
80,2019-07-05 12:22:22.412603,1801,1800,1116
81,2019-07-05 12:22:22.604090,1799,1800,1117
82,2019-07-05 12:22:22.779337,1788,1800,1118
83,2019-07-05 12:22:22.962845,1793,1800,1118
84,2019-07-05 12:22:23.143363,1804,1800,1117
85,2019-07-05 12:22:23.325875,1799,1800,1117
86,2019-07-05 12:22:23.508954,1791,1800,1118
87,2019-07-05 12:22:23.681493,1791,1800,1118
