Index,Time,Speed [rpm],Setpoint [rpm],Dutty cycle [ms]
0,2019-07-05 11:41:59.429347,0,1800,1000
1,2019-07-05 11:41:59.931190,0,1800,1000
2,2019-07-05 11:42:00.100334,0,1800,1000
3,2019-07-05 11:42:00.274868,0,1800,1000
4,2019-07-05 11:42:00.442422,0,1800,1000
5,2019-07-05 11:42:00.621943,0,1800,1000
6,2019-07-05 11:42:00.797474,0,1800,1000
7,2019-07-05 11:42:00.975000,0,1800,1000
8,2019-07-05 11:42:01.148536,0,1800,1000
9,2019-07-05 11:42:01.320447,0,1800,1000
10,2019-07-05 11:42:01.495978,0,1800,1000
11,2019-07-05 11:42:01.669556,0,1800,1000
12,2019-07-05 11:42:01.846086,0,1800,1000
13,2019-07-05 11:42:02.021616,0,1800,1000
14,2019-07-05 11:42:02.199143,0,1800,1000
15,2019-07-05 11:42:02.374674,0,1800,1000
16,2019-07-05 11:42:02.548211,0,1800,1000
17,2019-07-05 11:42:02.724286,0,1800,1000
18,2019-07-05 11:42:02.902810,0,1800,1000
19,2019-07-05 11:42:03.084459,0,1800,1000
20,2019-07-05 11:42:03.264978,0,1800,1000
21,2019-07-05 11:42:03.442504,0,1800,1000
22,2019-07-05 11:42:03.622025,0,1800,1000
23,2019-07-05 11:42:03.798553,0,1800,1000
24,2019-07-05 11:42:03.974084,0,1800,1008
25,2019-07-05 11:42:04.154603,0,1800,1044
26,2019-07-05 11:42:04.335454,0,1800,1080
27,2019-07-05 11:42:04.507993,7228,1800,1098
28,2019-07-05 11:42:04.693142,888,1800,1000
29,2019-07-05 11:42:04.912075,745,1800,1000
30,2019-07-05 11:42:05.097579,646,1800,1023
31,2019-07-05 11:42:05.275106,594,1800,1057
32,2019-07-05 11:42:05.456620,574,1800,1084
33,2019-07-05 11:42:05.633150,909,1800,1070
34,2019-07-05 11:42:05.815223,974,1800,1075
35,2019-07-05 11:42:05.995355,1048,1800,1083
36,2019-07-05 11:42:06.176871,1123,1800,1090
37,2019-07-05 11:42:06.354589,1214,1800,1093
38,2019-07-05 11:42:06.539096,1291,1800,1096
39,2019-07-05 11:42:06.727592,1349,1800,1096
40,2019-07-05 11:42:06.925066,1388,1800,1099
41,2019-07-05 11:42:07.114561,1451,1800,1101
42,2019-07-05 11:42:07.286101,1488,1800,1103
43,2019-07-05 11:42:07.462173,1536,1800,1105
44,2019-07-05 11:42:07.637412,1566,1800,1105
45,2019-07-05 11:42:07.817843,1597,1800,1106
46,2019-07-05 11:42:07.990383,1630,1800,1106
47,2019-07-05 11:42:08.161924,1646,1800,1106
48,2019-07-05 11:42:08.334464,1659,1800,1108
49,2019-07-05 11:42:08.506006,1668,1800,1109
50,2019-07-05 11:42:08.678545,1675,1800,1111
51,2019-07-05 11:42:08.857337,1687,1800,1112
52,2019-07-05 11:42:09.031872,1702,1800,1112
53,2019-07-05 11:42:09.208974,1724,1800,1112
54,2019-07-05 11:42:09.385416,1724,1800,1112
55,2019-07-05 11:42:09.564452,1731,1800,1114
56,2019-07-05 11:42:09.740982,1744,1800,1113
57,2019-07-05 11:42:09.942444,1739,1800,1114
58,2019-07-05 11:42:10.153879,1744,1800,1116
59,2019-07-05 11:42:10.350355,1744,1800,1117
60,2019-07-05 11:42:10.561305,1756,1800,1117
61,2019-07-05 11:42:10.776731,1756,1800,1117
62,2019-07-05 11:42:11.028572,1762,1800,1118
63,2019-07-05 11:42:11.222055,1756,1800,1118
64,2019-07-05 11:42:11.416536,1756,1800,1120
65,2019-07-05 11:42:11.610018,1775,1800,1120
66,2019-07-05 11:42:11.857359,1777,1800,1119
67,2019-07-05 11:42:12.071786,1772,1800,1120
68,2019-07-05 11:42:12.255296,1783,1800,1119
69,2019-07-05 11:42:12.430827,1783,1800,1120
70,2019-07-05 11:42:12.620321,1785,1800,1120
71,2019-07-05 11:42:12.810813,1791,1800,1120
72,2019-07-05 11:42:12.993325,1783,1800,1119
73,2019-07-05 11:42:13.173434,1785,1800,1121
74,2019-07-05 11:42:13.348964,1791,1800,1120
75,2019-07-05 11:42:13.535893,1788,1800,1120
76,2019-07-05 11:42:13.708432,1796,1800,1120
77,2019-07-05 11:42:13.888950,1801,1800,1120
78,2019-07-05 11:42:14.077447,1796,1800,1119
79,2019-07-05 11:42:14.276914,1801,1800,1120
80,2019-07-05 11:42:14.492340,1796,1800,1119
81,2019-07-05 11:42:14.674438,1793,1800,1120
82,2019-07-05 11:42:14.850967,1804,1800,1119
83,2019-07-05 11:42:15.024280,1791,1800,1120
84,2019-07-05 11:42:15.202803,1807,1800,1119
85,2019-07-05 11:42:15.381327,1809,1800,1119
86,2019-07-05 11:42:15.560847,1804,1800,1119
87,2019-07-05 11:42:15.740368,1804,1800,1119
88,2019-07-05 11:42:15.920886,1793,1800,1120
89,2019-07-05 11:42:16.105974,1799,1800,1119
90,2019-07-05 11:42:16.285067,1796,1800,1120
91,2019-07-05 11:42:16.467113,1804,1800,1119
92,2019-07-05 11:42:16.651181,1796,1800,1120
93,2019-07-05 11:42:16.844663,1796,1800,1120
94,2019-07-05 11:42:17.035156,1793,1800,1120
95,2019-07-05 11:42:17.215673,1801,1800,1119
96,2019-07-05 11:42:17.393199,1804,1800,1119
97,2019-07-05 11:42:17.575712,1796,1800,1120
98,2019-07-05 11:42:17.751459,1804,1800,1119
99,2019-07-05 11:42:17.928984,1796,1800,1120
100,2019-07-05 11:42:18.111046,1801,1800,1120
101,2019-07-05 11:42:18.295138,1793,1800,1120
102,2019-07-05 11:42:18.475656,1801,1800,1120
103,2019-07-05 11:42:18.649193,1796,1800,1120
104,2019-07-05 11:42:18.832703,1796,1800,1120
105,2019-07-05 11:42:19.012224,1799,1800,1119
106,2019-07-05 11:42:19.193738,1804,1800,1119
107,2019-07-05 11:42:19.367276,1788,1800,1120
108,2019-07-05 11:42:19.545376,1788,1800,1121
109,2019-07-05 11:42:19.728423,1801,1800,1121
110,2019-07-05 11:42:19.910935,1796,1800,1119
111,2019-07-05 11:42:20.102424,1801,1800,1120
112,2019-07-05 11:42:20.285934,1796,1800,1121
113,2019-07-05 11:42:20.464458,1796,1800,1121
114,2019-07-05 11:42:20.642982,1788,1800,1122
115,2019-07-05 11:42:20.830022,1788,1800,1122
116,2019-07-05 11:42:21.016524,1820,1800,1120
117,2019-07-05 11:42:21.197116,1818,1800,1119
118,2019-07-05 11:42:21.384615,1807,1800,1119
119,2019-07-05 11:42:21.566131,1796,1800,1120
120,2019-07-05 11:42:21.745653,1804,1800,1120
121,2019-07-05 11:42:21.924176,1809,1800,1119
122,2019-07-05 11:42:22.104693,1801,1800,1120
123,2019-07-05 11:42:22.282219,1804,1800,1120
124,2019-07-05 11:42:22.459362,1793,1800,1120
125,2019-07-05 11:42:22.636428,1801,1800,1120
126,2019-07-05 11:42:22.817459,1801,1800,1120
127,2019-07-05 11:42:22.998975,1801,1800,1120
128,2019-07-05 11:42:23.189465,1799,1800,1119
129,2019-07-05 11:42:23.370981,1796,1800,1120
130,2019-07-05 11:42:23.549504,1801,1800,1119
131,2019-07-05 11:42:23.727544,1801,1800,1120
132,2019-07-05 11:42:23.929006,1796,1800,1120
133,2019-07-05 11:42:24.115077,1804,1800,1119
134,2019-07-05 11:42:24.295697,1796,1800,1121
135,2019-07-05 11:42:24.474220,1809,1800,1120
136,2019-07-05 11:42:24.650748,1801,1800,1120
137,2019-07-05 11:42:24.831266,1801,1800,1120
138,2019-07-05 11:42:25.012781,1809,1800,1119
139,2019-07-05 11:42:25.192302,1807,1800,1119
140,2019-07-05 11:42:25.367834,1791,1800,1120
141,2019-07-05 11:42:25.543438,1796,1800,1120
142,2019-07-05 11:42:25.722959,1804,1800,1119
143,2019-07-05 11:42:25.901712,1801,1800,1119
144,2019-07-05 11:42:26.086420,1796,1800,1120
145,2019-07-05 11:42:26.269931,1799,1800,1120
146,2019-07-05 11:42:26.454441,1809,1800,1119
147,2019-07-05 11:42:26.633958,1807,1800,1119
148,2019-07-05 11:42:26.828439,1796,1800,1120
149,2019-07-05 11:42:27.018931,1793,1800,1119
150,2019-07-05 11:42:27.202314,1783,1800,1121
151,2019-07-05 11:42:27.378843,1796,1800,1120
152,2019-07-05 11:42:27.556620,1793,1800,1121
